,roe_change_z,margin_change_z,leverage_change_z,eps_growth_z,book_value_growth_z,log_return_z,rolling_beta_z,volume_ratio_z,roe_change_accel_z,margin_change_accel_z,eps_growth_surprise_z,reaction_speed_z,vol_regime_ratio_20_60_z
count,1470.0,1470.0,1356.0,1470.0,1448.0,119343.0,75001.0,119327.0,45240.0,45240.0,43380.0,119365.0,118967.0
mean,5.739928562687884e-18,5.664403186863044e-18,-3.929993007522678e-18,4.833624052789797e-18,-7.360594638398828e-18,-2.38151457818255e-19,-7.57902146115492e-18,2.8582006852166574e-18,-6.5965505972423094e-18,-5.025943312184617e-18,6.551800237529739e-19,2.095346567147449e-17,-2.8668497412294845e-18
std,1.0003403096916585,1.000340309691658,1.0003689356332837,1.0003403096916579,1.0003454828225342,1.0000041896310705,1.0000066666444463,1.0000041901928545,1.0000110523494505,1.0000110523494512,1.0000115262481455,1.000004188858891,1.0000042028726692
min,-3.0000000000000004,-3.0000000000000004,-3.0000000000000004,-3.0000000000000004,-3.0000000000000004,-2.979426000936232,-2.393192430989516,-2.9343819091725747,-2.9240207265117517,-2.896467279502686,-2.99949569804334,-3.0,-2.85755161494933
25%,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.7217886936223539,-0.7314321144934458,-0.7178189837339152,-0.5044323159435811,-0.454624195909797,-0.5124123855769807,-0.7195025242481877,-0.7704979477184213
50%,-0.03147278293209742,0.0026657039430049104,0.05306166558899765,0.166951310080169,-0.33333333333333326,-0.020478658751170907,0.023694894055859783,-0.17254633164782246,0.01877927096438004,-0.006218191195077271,-0.001436530998306237,-0.18556861209504538,-0.0002842027514684841
75%,0.3333333333333333,0.33333333333333337,0.35355339059327373,0.33333333333333337,0.33333333333333337,0.7131489302048468,0.8068134699818296,0.6470298408360827,0.49782895631791635,0.4604894669755269,0.4850578192335272,0.6256522404611435,0.7718329981523875
max,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,2.971327756021143,2.37412096459487,2.997868490374574,2.97466041828917,2.8779878974279214,2.999523089070092,3.0000000000000004,2.9332368746414557
