,roe_change,margin_change,leverage_change,eps_growth,book_value_growth,log_return,rolling_beta,volume_ratio,roe_change_accel,margin_change_accel,eps_growth_surprise,reaction_speed,vol_regime_ratio_20_60
count,46550.0,46550.0,42958.0,46550.0,45856.0,119358.0,75001.0,119328.0,45283.0,45283.0,43422.0,119368.0,118968.0
mean,0.0006054152094522028,0.0008487028786251362,1.718820708599095e-05,0.004161965618277063,0.00029964338995002907,0.00045864587431123055,0.873560488342577,1.0111234462364658,0.005622991144579642,-0.020563362210984124,0.25879033889867914,0.0003030194750258012,0.9593988881860653
std,0.6643576444725855,2.4380132916624606,0.018175448249863217,1.3118414444467559,0.008543397047860736,0.018175740495894422,0.3169470782789387,0.46509818898160193,9.2240728492564,34.170507906576866,17.21018737664562,0.0025059922774616945,0.21721583657780266
min,-44.754830000000005,-147.77664000000001,-0.7236990000000001,-60.45360158966716,-0.469723993130166,-0.6745940136128625,-0.060730035220876194,0.005560967689559993,-46.146271,-283.60208300000005,-160.61421025961212,-0.05,0.11698065846903659
25%,0.0,0.0,0.0,0.0,0.0,-0.008003290413777897,0.6614468658422549,0.7452793652042355,-2.1553000000000004,-4.546800000000001,-0.6864639229026375,-3.997877448031689e-05,0.8095344742088354
50%,0.0,0.0,0.0,0.0,0.0,0.0,0.896702745304917,0.9246495704838567,0.023899999999999366,-0.03300000000000014,-0.11784992230779766,0.00028919201192759505,0.9545549887262429
75%,0.0,0.0,0.0,0.0,0.0,0.008936246667702211,1.0986594649671266,1.1649625155345764,2.254599999999999,4.214599999999999,0.5171796126025603,0.0008974144312073925,1.1031326642344563
max,45.667619,137.974229,1.1782890000000001,249.89894366197186,0.35989218278652196,0.26567313430227385,1.8984474010094121,17.349994329180465,90.687724,260.51222800000005,416.06802777438884,0.05,1.6937621113218713
