fold,train_samples,dev_samples,test_samples,X_train,X_dev,X_test
train_1962_2009__dev_2010_2010__test_2011_2011,5722,1704,1917,"(5722, 40, 8)","(1704, 40, 8)","(1917, 40, 8)"
train_1962_2010__dev_2011_2011__test_2012_2012,7738,1917,1899,"(7738, 40, 8)","(1917, 40, 8)","(1899, 40, 8)"
train_1962_2011__dev_2012_2012__test_2013_2013,9999,1899,1974,"(9999, 40, 8)","(1899, 40, 8)","(1974, 40, 8)"
train_1962_2012__dev_2013_2013__test_2014_2014,12249,1974,2130,"(12249, 40, 8)","(1974, 40, 8)","(2130, 40, 8)"
train_1962_2013__dev_2014_2014__test_2015_2015,14574,2130,2130,"(14574, 40, 8)","(2130, 40, 8)","(2130, 40, 8)"
train_1962_2014__dev_2015_2015__test_2016_2016,17094,2130,2130,"(17094, 40, 8)","(2130, 40, 8)","(2130, 40, 8)"
train_1962_2015__dev_2016_2016__test_2017_2017,19614,2130,2120,"(19614, 40, 8)","(2130, 40, 8)","(2120, 40, 8)"
train_1962_2016__dev_2017_2017__test_2018_2018,22134,2120,2120,"(22134, 40, 8)","(2120, 40, 8)","(2120, 40, 8)"
train_1962_2017__dev_2018_2018__test_2019_2019,24644,2120,2130,"(24644, 40, 8)","(2120, 40, 8)","(2130, 40, 8)"
train_1962_2018__dev_2019_2019__test_2020_2020,27154,2130,2140,"(27154, 40, 8)","(2130, 40, 8)","(2140, 40, 8)"
train_1962_2019__dev_2020_2020__test_2021_2021,29674,2140,2130,"(29674, 40, 8)","(2140, 40, 8)","(2130, 40, 8)"
train_1962_2020__dev_2021_2021__test_2022_2022,32204,2130,2120,"(32204, 40, 8)","(2130, 40, 8)","(2120, 40, 8)"
train_1962_2021__dev_2022_2022__test_2023_2023,34724,2120,2110,"(34724, 40, 8)","(2120, 40, 8)","(2110, 40, 8)"
train_1962_2022__dev_2023_2023__test_2024_2024,37234,2110,1740,"(37234, 40, 8)","(2110, 40, 8)","(1740, 40, 8)"
