scenario,spot_shock,vol_shock,stress_pnl,stress_pct_equity,as_of_date
spot_-3%_vol_+0%,-0.03,0.0,0.0,0.0,2024-11-04
spot_-3%_vol_+10%,-0.03,0.1,0.0,0.0,2024-11-04
spot_-5%_vol_+0%,-0.05,0.0,0.0,0.0,2024-11-04
spot_-5%_vol_+10%,-0.05,0.1,0.0,0.0,2024-11-04
spot_+3%_vol_+0%,0.03,0.0,0.0,0.0,2024-11-04
spot_+3%_vol_+10%,0.03,0.1,0.0,0.0,2024-11-04
