date,ticker,signal,pred_rank,y_pred,y_true,K,execution_date_note
2009-12-31,WMT,1,1,0.0020081736,0.014487623,3,execute_at_open_t+1
2009-12-31,JNJ,1,2,0.0014128108,0.004183134,3,execute_at_open_t+1
2009-12-31,XOM,1,3,0.0010583885,0.013980132,3,execute_at_open_t+1
2010-01-04,JNJ,1,1,0.0003671106,-0.0116633,3,execute_at_open_t+1
2010-01-04,XOM,1,2,-0.0005560983,0.0038969524,3,execute_at_open_t+1
2010-01-04,IBM,1,3,-0.000651177,-0.012153586,3,execute_at_open_t+1
2010-01-05,JNJ,1,1,0.0007432867,0.008100995,3,execute_at_open_t+1
2010-01-05,WMT,1,2,0.00051595643,-0.0022375546,3,execute_at_open_t+1
2010-01-05,IBM,1,3,9.2525035e-05,-0.0065171784,3,execute_at_open_t+1
2010-01-06,WMT,1,1,0.00082369894,0.00055985816,3,execute_at_open_t+1
2010-01-06,IBM,1,2,0.00044248812,-0.0034675435,3,execute_at_open_t+1
2010-01-06,GE,1,3,-0.00038837641,0.050483905,3,execute_at_open_t+1
2010-01-07,WMT,1,1,0.0009287633,-0.0050500436,3,execute_at_open_t+1
2010-01-07,JNJ,1,2,0.00033013895,0.0034321407,3,execute_at_open_t+1
2010-01-07,IBM,1,3,0.0002923254,0.009984722,3,execute_at_open_t+1
2010-01-08,WMT,1,1,0.0011879094,0.016366368,3,execute_at_open_t+1
2010-01-08,JNJ,1,2,0.0005050115,0.00015572686,3,execute_at_open_t+1
2010-01-08,XOM,1,3,0.00024795718,0.011157318,3,execute_at_open_t+1
2010-01-11,JNJ,1,1,0.00065317936,0.0052803354,3,execute_at_open_t+1
2010-01-11,IBM,1,2,0.00038543716,0.007923423,3,execute_at_open_t+1
2010-01-11,WMT,1,3,-0.00021848269,0.009546611,3,execute_at_open_t+1
2010-01-12,GE,1,1,0.0002980586,0.0035714323,3,execute_at_open_t+1
2010-01-12,JNJ,1,2,1.4882535e-06,0.006330601,3,execute_at_open_t+1
2010-01-12,MSFT,1,3,-1.6767532e-05,0.00926852,3,execute_at_open_t+1
2010-01-13,GE,1,1,0.0003657341,-0.0077542886,3,execute_at_open_t+1
2010-01-13,XOM,1,2,0.00025073066,0.0001435235,3,execute_at_open_t+1
2010-01-13,BRK_B,1,3,1.094304e-05,-0.0006062443,3,execute_at_open_t+1
2010-01-14,WMT,1,1,0.0011392403,-0.009824901,3,execute_at_open_t+1
2010-01-14,GE,1,2,0.0010257754,-0.01569133,3,execute_at_open_t+1
2010-01-14,CVX,1,3,0.0005327314,-0.00403074,3,execute_at_open_t+1
2010-01-15,GE,1,1,0.0013794918,0.0060643,3,execute_at_open_t+1
2010-01-15,WMT,1,2,0.0007153116,0.006498955,3,execute_at_open_t+1
2010-01-15,XOM,1,3,0.0002152659,0.002312474,3,execute_at_open_t+1
2010-01-19,GE,1,1,0.00044403225,-0.0024213088,3,execute_at_open_t+1
2010-01-19,WMT,1,2,0.00035659224,-0.0031513604,3,execute_at_open_t+1
2010-01-19,XOM,1,3,-0.00017463602,-0.018063128,3,execute_at_open_t+1
2010-01-20,CVX,1,1,0.0010197423,-0.024743797,3,execute_at_open_t+1
2010-01-20,WMT,1,2,0.00071335584,-0.017606748,3,execute_at_open_t+1
2010-01-20,MSFT,1,3,0.0007053744,-0.018979033,3,execute_at_open_t+1
2010-01-21,GE,1,1,0.0015906449,0.0056022555,3,execute_at_open_t+1
2010-01-21,WMT,1,2,0.001419995,0.00037785756,3,execute_at_open_t+1
2010-01-21,CVX,1,3,0.0012806393,-0.021879809,3,execute_at_open_t+1
2010-01-22,BRK_B,1,1,0.006333776,-0.018137822,3,execute_at_open_t+1
