date,ticker,signal,pred_rank,y_pred,y_true,K,execution_date_note
2009-12-31,WMT,1,1,0.0020081736,0.014487623,3,execute_at_open_t+1
2009-12-31,JNJ,1,2,0.0014128108,0.004183134,3,execute_at_open_t+1
2009-12-31,XOM,1,3,0.0010583885,0.013980132,3,execute_at_open_t+1
2009-12-31,GE,-1,6,0.0004673116,0.020929476,3,execute_at_open_t+1
2009-12-31,CVX,-1,7,0.0004592836,0.026531514,3,execute_at_open_t+1
2009-12-31,BRK_B,-1,8,-3.6388636e-05,0.007579239,3,execute_at_open_t+1
2010-01-04,JNJ,1,1,0.0003671106,-0.0116633,3,execute_at_open_t+1
2010-01-04,XOM,1,2,-0.0005560983,0.0038969524,3,execute_at_open_t+1
2010-01-04,IBM,1,3,-0.000651177,-0.012153586,3,execute_at_open_t+1
2010-01-04,BRK_B,-1,6,-0.0010729302,0.0048207385,3,execute_at_open_t+1
2010-01-04,GE,-1,7,-0.0016815178,0.005164634,3,execute_at_open_t+1
2010-01-04,CVX,-1,8,-0.0022365898,0.0070582596,3,execute_at_open_t+1
2010-01-05,JNJ,1,1,0.0007432867,0.008100995,3,execute_at_open_t+1
2010-01-05,WMT,1,2,0.00051595643,-0.0022375546,3,execute_at_open_t+1
2010-01-05,IBM,1,3,9.2525035e-05,-0.0065171784,3,execute_at_open_t+1
2010-01-05,BRK_B,-1,6,-0.0009514652,-0.005122808,3,execute_at_open_t+1
2010-01-05,GE,-1,7,-0.001330236,-0.005164634,3,execute_at_open_t+1
2010-01-05,CVX,-1,8,-0.0019445587,0.0001255887,3,execute_at_open_t+1
2010-01-06,WMT,1,1,0.00082369894,0.00055985816,3,execute_at_open_t+1
2010-01-06,IBM,1,2,0.00044248812,-0.0034675435,3,execute_at_open_t+1
2010-01-06,GE,1,3,-0.00038837641,0.050483905,3,execute_at_open_t+1
2010-01-06,BRK_B,-1,6,-0.0007066317,0.0039047531,3,execute_at_open_t+1
2010-01-06,XOM,-1,7,-0.0010661446,-0.0031469057,3,execute_at_open_t+1
2010-01-06,CVX,-1,8,-0.0013798308,-0.0037745389,3,execute_at_open_t+1
2010-01-07,WMT,1,1,0.0009287633,-0.0050500436,3,execute_at_open_t+1
2010-01-07,JNJ,1,2,0.00033013895,0.0034321407,3,execute_at_open_t+1
2010-01-07,IBM,1,3,0.0002923254,0.009984722,3,execute_at_open_t+1
2010-01-07,CVX,-1,6,-0.00061460584,0.0017632246,3,execute_at_open_t+1
2010-01-07,BRK_B,-1,7,-0.00077251345,-0.00028593143,3,execute_at_open_t+1
2010-01-07,GE,-1,8,-0.0050080456,0.021309787,3,execute_at_open_t+1
2010-01-08,WMT,1,1,0.0011879094,0.016366368,3,execute_at_open_t+1
2010-01-08,JNJ,1,2,0.0005050115,0.00015572686,3,execute_at_open_t+1
2010-01-08,XOM,1,3,0.00024795718,0.011157318,3,execute_at_open_t+1
2010-01-08,BRK_B,-1,6,-0.00056455657,0.0008996554,3,execute_at_open_t+1
2010-01-08,MSFT,-1,7,-0.00068197027,-0.012801751,3,execute_at_open_t+1
2010-01-08,GE,-1,8,-0.0024828948,0.0095924,3,execute_at_open_t+1
2010-01-11,JNJ,1,1,0.00065317936,0.0052803354,3,execute_at_open_t+1
2010-01-11,IBM,1,2,0.00038543716,0.007923423,3,execute_at_open_t+1
2010-01-11,WMT,1,3,-0.00021848269,0.009546611,3,execute_at_open_t+1
2010-01-11,GE,-1,6,-0.00074910186,0.0005964808,3,execute_at_open_t+1
2010-01-11,BRK_B,-1,7,-0.0014254674,-0.0075138956,3,execute_at_open_t+1
2010-01-11,CVX,-1,8,-0.0018443149,-0.005828028,3,execute_at_open_t+1
